# Format is: alabel, ulabel, english, type

SHOES, null, null, New-gTLD
CENTER, null, null, New-gTLD
RUHR, null, null, New-gTLD
MENU, null, null, New-gTLD
UNO, null, null, New-gTLD
xn--q9jyb4c, みんな, everyone, New-gTLD
DIAMONDS, null, null, New-gTLD
TIPS, null, null, New-gTLD
PHOTOGRAPHY, null, null, New-gTLD
DIRECTORY, null, null, New-gTLD
ENTERPRISES, null, null, New-gTLD
KITCHEN, null, null, New-gTLD
TODAY, null, null, New-gTLD
PLUMBING, null, null, New-gTLD
GRAPHICS, null, null, New-gTLD
CONTRACTORS, null, null, New-gTLD
GALLERY, null, null, New-gTLD
SEXY, null, null, New-gTLD
CONSTRUCTION, null, null, New-gTLD
TATTOO, null, null, New-gTLD
TECHNOLOGY, null, null, New-gTLD
ESTATE, null, null, New-gTLD
LAND, null, null, New-gTLD
BIKE, null, null, New-gTLD
VENTURES, null, null, New-gTLD
CAMERA, null, null, New-gTLD
CLOTHING, null, null, New-gTLD
LIGHTING, null, null, New-gTLD
SINGLES, null, null, New-gTLD
VOYAGE, null, null, New-gTLD
GURU, null, null, New-gTLD
HOLDINGS, null, null, New-gTLD
EQUIPMENT, null, null, New-gTLD
xn--ngbc5azd, شبكة, web/network, New-gTLD
xn--80asehdb, онлайн, online, New-gTLD
xn--80aswg, сайт, site, New-gTLD
xn--unup4y, 游戏, game(s), New-gTLD);
